id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
MAR_CEC_015,100,1,0,Les nuages sont gris. ,0,0,1,3.94,183.44
MAR_CEC_015,100,2,0,Les nuages sont gris. ,6,0,0,0.76,189.4
MAR_CEC_015,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,4.35,200.73
MAR_CEC_015,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.76,206.75
MAR_CEC_015,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.42,219.05
MAR_CEC_015,102,2,0,Avez-vous vu un éléphant ? ,0,6,0,2.14,228.21
MAR_CEC_015,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.74,274.79
MAR_CEC_015,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.96,277.79
MAR_CEC_015,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.76,284.01
MAR_CEC_015,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.39,285.44
MAR_CEC_015,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.35,292.93
MAR_CEC_015,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.23,303.98
MAR_CEC_015,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,2.02,306.06
MAR_CEC_015,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.79,307.89
MAR_CEC_015,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.19,318.27
MAR_CEC_015,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,1.65,319.97
MAR_CEC_015,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.89,322.91
MAR_CEC_015,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.54,330.11
MAR_CEC_015,3,1,1,Avez-vous vu une corde à sauter ? ,0,6,0,2.04,332.2
MAR_CEC_015,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.14,339.02
MAR_CEC_015,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.04,340.11
MAR_CEC_015,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.87,346.48
MAR_CEC_015,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.74,349.28
MAR_CEC_015,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.41,350.74
MAR_CEC_015,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.88,356.97
MAR_CEC_015,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,22.37,379.39
MAR_CEC_015,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.4,386.3
