id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
JAK_FRA_032,100,1,0,Les nuages sont gris. ,6,0,0,13.78,47.52
JAK_FRA_032,100,2,0,Les nuages sont gris. ,0,0,1,4.23,60.35
JAK_FRA_032,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,5.19,73.28
JAK_FRA_032,102,1,0,Avez-vous vu un �l�phant ? ,6,6,1,11.24,94.64
JAK_FRA_032,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,6.1,123.62
JAK_FRA_032,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,3.74,127.42
JAK_FRA_032,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,6.04,140.6
JAK_FRA_032,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,2.43,143.07
JAK_FRA_032,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.49,154.85
JAK_FRA_032,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.44,164.99
JAK_FRA_032,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,7.02,180.63
JAK_FRA_032,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.52,184.19
JAK_FRA_032,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,4.33,188.56
JAK_FRA_032,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.72,198.2
JAK_FRA_032,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,3.46,201.71
JAK_FRA_032,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.12,208.27
JAK_FRA_032,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,5.02,213.32
JAK_FRA_032,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,2.68,216.06
JAK_FRA_032,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,3.58,224.99
