id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
RAF_JUL_014,100,1,0,Les nuages sont gris. ,0,0,1,1.07,40.41
RAF_JUL_014,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.67,50.47
RAF_JUL_014,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.33,61.59
RAF_JUL_014,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.17,83.64
RAF_JUL_014,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.9,89.59
RAF_JUL_014,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.35,95.44
RAF_JUL_014,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.8,96.27
RAF_JUL_014,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.95,103.1
RAF_JUL_014,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,3.02,113.97
RAF_JUL_014,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.26,117.27
RAF_JUL_014,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.44,118.76
RAF_JUL_014,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.29,126.26
RAF_JUL_014,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.45,127.75
RAF_JUL_014,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.16,133.3
RAF_JUL_014,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,3.09,136.43
RAF_JUL_014,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.57,139.04
RAF_JUL_014,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.14,145.68
RAF_JUL_014,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,0.94,146.66
RAF_JUL_014,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.86,147.56
RAF_JUL_014,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,6,0,0,2.43,154.58
RAF_JUL_014,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.27,155.89
RAF_JUL_014,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,4.48,169.35
RAF_JUL_014,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.77,171.17
RAF_JUL_014,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.55,178.62
RAF_JUL_014,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,5.84,184.51
RAF_JUL_014,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.16,191.53
RAF_JUL_014,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,0.93,192.5
RAF_JUL_014,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,1.69,200.89
RAF_JUL_014,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.68,208.81
RAF_JUL_014,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.56,210.41
RAF_JUL_014,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.55,216.74
RAF_JUL_014,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.68,218.46
RAF_JUL_014,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.97,226.02
RAF_JUL_014,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.72,227.78
RAF_JUL_014,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.72,230.54
RAF_JUL_014,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.04,234.78
RAF_JUL_014,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.02,245.19
RAF_JUL_014,13,1,1,La pièce est-elle rangée ? ,0,0,1,1.34,246.58
RAF_JUL_014,13,1,2,Combien y a-t-il de posters sur les murs ? ,6,0,0,2.66,249.28
RAF_JUL_014,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,2.99,252.32
RAF_JUL_014,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,0.67,262.64
RAF_JUL_014,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.02,263.7
RAF_JUL_014,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,1.53,265.28
RAF_JUL_014,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,1.41,266.75
RAF_JUL_014,14,1,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.71,282.16
RAF_JUL_014,14,1,1,Avez-vous vu une éponge ?,6,6,1,3.84,286.04
RAF_JUL_014,14,1,2,Avez-vous vu des serviettes usagées ?,0,6,0,2.03,288.12
RAF_JUL_014,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.52,289.69
RAF_JUL_014,14,2,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,0.89,300.81
