id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
DJA_YOU_057,100,1,0,Les nuages sont gris. ,0,0,1,3.92,70.37
DJA_YOU_057,100,2,0,Les nuages sont gris. ,6,0,0,4.81,83.5
DJA_YOU_057,100,3,0,Les nuages sont gris. ,0,0,1,1.2,95.74
DJA_YOU_057,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,5.37,115.35
DJA_YOU_057,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,0.93,121.4
DJA_YOU_057,102,1,0,Avez-vous vu un éléphant ? ,6,6,1,4.68,136.32
DJA_YOU_057,102,2,0,Avez-vous vu un éléphant ? ,0,6,0,2.66,147.01
DJA_YOU_057,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,8.32,175.72
DJA_YOU_057,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,0,6,0,8.31,184.08
DJA_YOU_057,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.11,193.95
DJA_YOU_057,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.37,196.36
DJA_YOU_057,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,6.32,208.83
DJA_YOU_057,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.58,217.59
DJA_YOU_057,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,6.53,233.6
DJA_YOU_057,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,6.74,240.38
DJA_YOU_057,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,6.79,247.22
DJA_YOU_057,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.0,259.95
DJA_YOU_057,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.93,263.92
DJA_YOU_057,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.26,266.22
DJA_YOU_057,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,3.17,274.48
DJA_YOU_057,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,5.23,279.75
DJA_YOU_057,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,3.43,288.59
DJA_YOU_057,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.28,289.92
DJA_YOU_057,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.85,296.96
DJA_YOU_057,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,3.07,300.07
DJA_YOU_057,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.84,301.95
DJA_YOU_057,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.78,309.87
DJA_YOU_057,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.46,312.37
DJA_YOU_057,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.51,313.92
DJA_YOU_057,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,6,0,0,5.54,324.48
DJA_YOU_057,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.48,329.02
DJA_YOU_057,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.98,336.21
DJA_YOU_057,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.78,339.04
DJA_YOU_057,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,6.45,357.24
DJA_YOU_057,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.1,361.39
DJA_YOU_057,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.13,372.09
DJA_YOU_057,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.21,374.35
DJA_YOU_057,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,6,0,0,7.52,387.21
DJA_YOU_057,7,1,1,Le nom inscrit sur la première tombe est : ,6,0,0,13.46,400.72
DJA_YOU_057,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.97,409.51
DJA_YOU_057,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,8.29,417.85
DJA_YOU_057,7,3,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,3.84,427.05
DJA_YOU_057,7,3,1,Le nom inscrit sur la première tombe est : ,6,0,0,5.97,433.06
DJA_YOU_057,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,5.31,445.8
DJA_YOU_057,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,1.42,457.33
DJA_YOU_057,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,7.04,470.95
DJA_YOU_057,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.64,472.63
DJA_YOU_057,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,4.88,483.9
DJA_YOU_057,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,1.46,485.41
DJA_YOU_057,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,5.45,496.35
DJA_YOU_057,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,6,0,0,4.9,501.29
DJA_YOU_057,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.75,509.12
DJA_YOU_057,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,6,0,0,5.96,515.12
DJA_YOU_057,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,3.96,525.52
DJA_YOU_057,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,3.9,529.48
DJA_YOU_057,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.98,532.51
DJA_YOU_057,11,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.5,543.75
