id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
LEU_SEV_007,100,1,0,Les nuages sont gris. ,0,0,1,3.65,77.68
LEU_SEV_007,100,2,0,Les nuages sont gris. ,0,0,1,3.15,85.98
LEU_SEV_007,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,2.2,97.31
LEU_SEV_007,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,13.0,120.24
LEU_SEV_007,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.42,132.28
LEU_SEV_007,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.31,158.44
LEU_SEV_007,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,6.0,164.48
LEU_SEV_007,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.22,174.32
LEU_SEV_007,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.08,175.44
LEU_SEV_007,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.01,182.71
LEU_SEV_007,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.1,189.35
LEU_SEV_007,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,5.87,204.84
LEU_SEV_007,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,5.98,210.88
LEU_SEV_007,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,3.46,214.38
LEU_SEV_007,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,3.74,228.07
LEU_SEV_007,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.22,231.34
LEU_SEV_007,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.65,234.03
LEU_SEV_007,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.1,241.25
LEU_SEV_007,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.56,243.86
LEU_SEV_007,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.64,251.0
LEU_SEV_007,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.86,252.91
LEU_SEV_007,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.26,260.83
LEU_SEV_007,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,4.31,265.19
LEU_SEV_007,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.75,266.98
