id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
TRA_LOI_064,100,1,0,Les nuages sont gris. ,6,0,0,5.18,60.02
TRA_LOI_064,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.3,71.34
TRA_LOI_064,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.74,82.9
TRA_LOI_064,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.79,90.66
TRA_LOI_064,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,7.59,121.89
TRA_LOI_064,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,9.17,131.11
TRA_LOI_064,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.67,138.16
TRA_LOI_064,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.14,139.35
TRA_LOI_064,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.16,145.23
TRA_LOI_064,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.91,156.33
TRA_LOI_064,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.36,158.73
TRA_LOI_064,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.11,160.88
TRA_LOI_064,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,1.11,169.67
TRA_LOI_064,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.05,170.76
TRA_LOI_064,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.88,171.68
TRA_LOI_064,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,3.46,179.23
TRA_LOI_064,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.68,180.96
TRA_LOI_064,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.92,187.81
TRA_LOI_064,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.98,188.84
TRA_LOI_064,3,3,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.48,193.22
TRA_LOI_064,3,3,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.27,193.52
TRA_LOI_064,3,4,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.35,197.6
TRA_LOI_064,3,4,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.21,197.85
TRA_LOI_064,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.97,201.61
TRA_LOI_064,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.84,203.47
TRA_LOI_064,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.17,204.68
TRA_LOI_064,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.83,210.83
TRA_LOI_064,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.25,212.12
TRA_LOI_064,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.57,212.73
TRA_LOI_064,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.4,218.08
TRA_LOI_064,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.6,219.72
TRA_LOI_064,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.13,229.42
TRA_LOI_064,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.02,231.47
TRA_LOI_064,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.05,237.94
TRA_LOI_064,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.76,239.75
TRA_LOI_064,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.12,246.14
TRA_LOI_064,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,0.6,246.78
TRA_LOI_064,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,1.42,254.29
TRA_LOI_064,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,0.91,262.75
TRA_LOI_064,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.19,272.52
TRA_LOI_064,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.15,274.71
TRA_LOI_064,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.3,281.05
TRA_LOI_064,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.25,282.34
TRA_LOI_064,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.07,288.35
TRA_LOI_064,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.37,289.76
TRA_LOI_064,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.46,297.88
TRA_LOI_064,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,0,6,0,0.31,298.25
TRA_LOI_064,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.02,300.32
TRA_LOI_064,11,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.39,307.36
TRA_LOI_064,11,2,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.97,309.37
TRA_LOI_064,11,2,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,1.94,311.36
TRA_LOI_064,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.72,316.61
TRA_LOI_064,12,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.58,321.85
TRA_LOI_064,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.15,334.39
TRA_LOI_064,13,1,1,La pièce est-elle rangée ? ,0,0,1,1.85,336.3
TRA_LOI_064,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,2.02,338.36
TRA_LOI_064,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,1.16,339.57
TRA_LOI_064,14,1,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,1.65,351.99
TRA_LOI_064,14,1,1,Avez-vous vu une éponge ?,6,6,1,1.06,353.09
TRA_LOI_064,14,1,2,Avez-vous vu des serviettes usagées ?,6,6,1,1.05,354.18
TRA_LOI_064,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.67,355.89
