id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
MEN_VIR_060,100,1,0,Les nuages sont gris. ,0,0,1,2.48,51.88
MEN_VIR_060,100,2,0,Les nuages sont gris. ,0,0,1,2.08,58.86
MEN_VIR_060,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,2.19,68.42
MEN_VIR_060,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.14,74.23
MEN_VIR_060,102,1,0,Avez-vous vu un éléphant ? ,6,6,1,2.66,87.58
MEN_VIR_060,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.86,96.07
MEN_VIR_060,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.14,118.81
MEN_VIR_060,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.54,124.39
MEN_VIR_060,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.53,131.46
MEN_VIR_060,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.12,134.61
MEN_VIR_060,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.12,143.59
MEN_VIR_060,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.0,144.64
MEN_VIR_060,0,4,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.4,150.46
MEN_VIR_060,0,4,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.29,152.78
MEN_VIR_060,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.6,158.98
MEN_VIR_060,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,3.96,172.99
MEN_VIR_060,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.45,177.47
MEN_VIR_060,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.98,180.51
MEN_VIR_060,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.49,192.98
MEN_VIR_060,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.67,197.7
MEN_VIR_060,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.14,198.88
MEN_VIR_060,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,2.63,209.25
MEN_VIR_060,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.8,213.09
MEN_VIR_060,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.37,214.5
MEN_VIR_060,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.95,221.79
MEN_VIR_060,3,1,1,Avez-vous vu une corde à sauter ? ,0,6,0,3.06,224.88
MEN_VIR_060,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.79,231.63
MEN_VIR_060,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.54,233.22
MEN_VIR_060,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.8,241.73
MEN_VIR_060,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,6.23,248.01
MEN_VIR_060,4,1,2,Avez-vous vu une corde à sauter ? ,0,6,0,2.13,250.17
MEN_VIR_060,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.98,256.55
MEN_VIR_060,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.9,258.49
MEN_VIR_060,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,3.45,261.97
MEN_VIR_060,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,3.68,270.55
MEN_VIR_060,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.58,274.17
MEN_VIR_060,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,6.32,285.61
MEN_VIR_060,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.74,287.4
MEN_VIR_060,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.88,299.96
MEN_VIR_060,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,3.41,303.4
MEN_VIR_060,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.39,313.56
MEN_VIR_060,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.54,316.15
MEN_VIR_060,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,5.01,325.75
MEN_VIR_060,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,3.23,329.04
MEN_VIR_060,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.25,335.01
MEN_VIR_060,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,7.26,342.31
MEN_VIR_060,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,6.29,356.08
MEN_VIR_060,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,2.24,365.25
MEN_VIR_060,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,3.23,374.81
MEN_VIR_060,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.49,377.33
MEN_VIR_060,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.32,384.82
MEN_VIR_060,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,2.1,386.96
MEN_VIR_060,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,4.46,396.36
