id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
JOU_FRA_024,100,1,0,Les nuages sont gris. ,0,0,1,2.25,35.35
JOU_FRA_024,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.93,45.21
JOU_FRA_024,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,3.78,59.28
JOU_FRA_024,102,2,0,Avez-vous vu un éléphant ? ,0,6,0,0.87,66.92
JOU_FRA_024,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.09,89.19
JOU_FRA_024,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.31,94.54
JOU_FRA_024,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.59,100.39
JOU_FRA_024,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.26,112.09
JOU_FRA_024,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,2.39,114.53
JOU_FRA_024,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.2,115.76
JOU_FRA_024,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.87,124.07
JOU_FRA_024,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,3.03,127.15
JOU_FRA_024,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.37,134.04
JOU_FRA_024,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.16,135.24
JOU_FRA_024,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.46,141.15
JOU_FRA_024,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.79,142.97
JOU_FRA_024,4,1,2,Avez-vous vu une corde à sauter ? ,0,6,0,0.69,143.71
JOU_FRA_024,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.94,151.89
JOU_FRA_024,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.8,156.73
JOU_FRA_024,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.86,167.78
JOU_FRA_024,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.01,171.82
JOU_FRA_024,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.19,183.02
JOU_FRA_024,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.45,184.52
