id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
PRI_LOU_047,100,1,0,Les nuages sont gris. ,0,0,1,2.59,45.05
PRI_LOU_047,100,2,0,Les nuages sont gris. ,0,0,1,1.53,51.58
PRI_LOU_047,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.24,60.62
PRI_LOU_047,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,1.58,71.63
PRI_LOU_047,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.11,98.12
PRI_LOU_047,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,3.74,101.92
PRI_LOU_047,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.85,107.33
PRI_LOU_047,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,0.68,108.04
PRI_LOU_047,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.23,113.7
PRI_LOU_047,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.17,125.78
PRI_LOU_047,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.86,127.7
PRI_LOU_047,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,0.65,128.39
PRI_LOU_047,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.2,134.45
PRI_LOU_047,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,1.81,136.29
PRI_LOU_047,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.39,142.09
PRI_LOU_047,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,0.96,143.09
PRI_LOU_047,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.85,147.33
PRI_LOU_047,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.07,149.44
PRI_LOU_047,4,1,2,Avez-vous vu une corde � sauter ? ,0,6,0,0.52,149.99
PRI_LOU_047,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.34,157.4
PRI_LOU_047,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.65,159.1
PRI_LOU_047,4,2,2,Avez-vous vu une corde � sauter ? ,6,6,1,0.63,159.78
PRI_LOU_047,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,1.83,166.23
PRI_LOU_047,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.56,168.83
PRI_LOU_047,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.53,178.15
PRI_LOU_047,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.85,180.03
PRI_LOU_047,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.88,186.22
PRI_LOU_047,7,1,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,2.55,188.83
PRI_LOU_047,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,1.41,197.14
PRI_LOU_047,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,2.76,205.86
