id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
HIN_LAU_026,100,1,0,Les nuages sont gris. ,0,0,1,2.88,63.8
HIN_LAU_026,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.14,73.71
HIN_LAU_026,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.91,85.58
HIN_LAU_026,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.05,112.87
HIN_LAU_026,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.04,117.96
HIN_LAU_026,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.78,125.94
HIN_LAU_026,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.61,127.59
HIN_LAU_026,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.25,135.29
HIN_LAU_026,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,5.68,150.57
HIN_LAU_026,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.45,154.06
HIN_LAU_026,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,4.14,158.25
HIN_LAU_026,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.19,172.57
HIN_LAU_026,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.33,177.93
HIN_LAU_026,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.63,180.62
HIN_LAU_026,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.56,193.72
HIN_LAU_026,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.49,195.25
HIN_LAU_026,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,3.86,199.15
HIN_LAU_026,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.06,206.02
HIN_LAU_026,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,3.25,209.31
HIN_LAU_026,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.19,216.65
HIN_LAU_026,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.49,218.18
HIN_LAU_026,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.75,225.53
HIN_LAU_026,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,3.25,228.82
HIN_LAU_026,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.78,231.64
HIN_LAU_026,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.93,238.47
HIN_LAU_026,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.02,240.52
HIN_LAU_026,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.36,241.92
HIN_LAU_026,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,3.15,250.06
HIN_LAU_026,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.96,254.07
HIN_LAU_026,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.09,261.32
HIN_LAU_026,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.31,265.67
HIN_LAU_026,5,3,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.62,273.59
HIN_LAU_026,5,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.22,274.84
HIN_LAU_026,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,6.26,290.07
HIN_LAU_026,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.6,294.73
HIN_LAU_026,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,4.51,307.77
HIN_LAU_026,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.25,310.08
HIN_LAU_026,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.86,316.77
HIN_LAU_026,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,6.82,323.64
HIN_LAU_026,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.4,330.73
HIN_LAU_026,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.68,332.45
HIN_LAU_026,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,2.52,341.76
HIN_LAU_026,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.73,352.61
HIN_LAU_026,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,4.03,356.67
HIN_LAU_026,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.04,363.34
HIN_LAU_026,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,2.1,365.48
HIN_LAU_026,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.42,374.45
HIN_LAU_026,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.14,376.63
HIN_LAU_026,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.26,382.89
HIN_LAU_026,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.3,384.23
HIN_LAU_026,10,3,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.73,392.55
HIN_LAU_026,10,3,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.22,393.81
HIN_LAU_026,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.66,401.79
HIN_LAU_026,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.86,404.7
HIN_LAU_026,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,3.05,407.79
HIN_LAU_026,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.29,413.34
HIN_LAU_026,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.47,425.75
HIN_LAU_026,13,1,1,La pièce est-elle rangée ? ,0,0,1,2.77,428.57
HIN_LAU_026,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,3.04,431.65
HIN_LAU_026,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,8.43,440.15
HIN_LAU_026,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.52,452.45
HIN_LAU_026,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.46,453.95
HIN_LAU_026,13,2,2,Combien y a-t-il de posters sur les murs ? ,6,0,0,2.17,456.17
HIN_LAU_026,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,1.45,457.67
HIN_LAU_026,14,1,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.53,470.08
HIN_LAU_026,14,1,1,Avez-vous vu une éponge ?,0,6,0,2.1,472.23
HIN_LAU_026,14,1,2,Avez-vous vu des serviettes usagées ?,0,6,0,2.74,475.02
HIN_LAU_026,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,2.89,477.97
HIN_LAU_026,14,2,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.07,490.96
HIN_LAU_026,14,2,1,Avez-vous vu une éponge ?,0,6,0,2.5,493.51
HIN_LAU_026,14,2,2,Avez-vous vu des serviettes usagées ?,6,6,1,2.26,495.82
HIN_LAU_026,14,2,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,3.45,499.32
HIN_LAU_026,14,3,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.09,512.1
HIN_LAU_026,14,3,1,Avez-vous vu une éponge ?,6,6,1,1.45,513.6
HIN_LAU_026,14,3,2,Avez-vous vu des serviettes usagées ?,6,6,1,1.85,515.49
HIN_LAU_026,14,3,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,2.5,518.05
