id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
CHA_BRU_018,100,1,0,Les nuages sont gris. ,0,0,1,1.97,109.31
CHA_BRU_018,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.0,121.17
CHA_BRU_018,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,5.07,131.91
CHA_BRU_018,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.61,144.17
CHA_BRU_018,102,2,0,Avez-vous vu un éléphant ? ,0,6,0,0.81,153.18
CHA_BRU_018,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.44,181.91
CHA_BRU_018,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.92,186.88
CHA_BRU_018,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.76,194.63
CHA_BRU_018,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.26,196.93
CHA_BRU_018,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.3,204.73
CHA_BRU_018,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.03,216.84
CHA_BRU_018,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.76,219.65
CHA_BRU_018,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.99,222.68
CHA_BRU_018,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.44,229.43
CHA_BRU_018,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,4.07,233.54
CHA_BRU_018,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.61,243.35
CHA_BRU_018,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.0,245.39
CHA_BRU_018,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.21,247.64
CHA_BRU_018,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.61,255.7
CHA_BRU_018,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.37,258.11
CHA_BRU_018,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.6,269.72
CHA_BRU_018,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,4.56,274.34
CHA_BRU_018,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,3.72,283.91
CHA_BRU_018,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,6.63,290.59
CHA_BRU_018,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,3.81,300.06
CHA_BRU_018,7,2,1,Le nom inscrit sur la première tombe est : ,6,0,0,4.25,304.36
CHA_BRU_018,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,2.18,314.11
CHA_BRU_018,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.83,322.49
CHA_BRU_018,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,4.31,326.84
CHA_BRU_018,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,6.7,342.76
CHA_BRU_018,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,1.77,344.58
CHA_BRU_018,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.39,352.19
CHA_BRU_018,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,3.7,355.93
CHA_BRU_018,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.26,364.19
CHA_BRU_018,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.79,367.03
CHA_BRU_018,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.71,369.79
CHA_BRU_018,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,3.51,377.38
CHA_BRU_018,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.71,388.9
CHA_BRU_018,13,1,1,La pièce est-elle rangée ? ,0,0,1,2.13,391.07
CHA_BRU_018,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,5.23,396.35
CHA_BRU_018,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,2.82,399.22
CHA_BRU_018,14,1,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,4.19,417.95
CHA_BRU_018,14,1,1,Avez-vous vu une éponge ?,6,6,1,3.27,421.26
CHA_BRU_018,14,1,2,Avez-vous vu des serviettes usagées ?,0,6,0,4.56,425.87
CHA_BRU_018,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,3.44,429.35
CHA_BRU_018,14,2,0,Avez-vous vu des mouchoirs usagés ? ,0,6,0,2.91,443.24
CHA_BRU_018,14,2,1,Avez-vous vu une éponge ?,0,6,0,3.11,446.39
CHA_BRU_018,14,2,2,Avez-vous vu des serviettes usagées ?,0,6,0,1.5,447.92
CHA_BRU_018,14,2,3,Les rebords de la fenêtre sont-ils propres ? ,6,0,0,1.68,449.66
CHA_BRU_018,15,1,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,3.21,462.87
CHA_BRU_018,15,1,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,0,6,0,4.33,467.24
CHA_BRU_018,15,2,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,0,6,0,4.83,481.8
CHA_BRU_018,15,2,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,6,6,1,2.21,484.05
CHA_BRU_018,16,1,0,Combien y a-t-il de tasses sur cette photo ? ,6,6,1,3.87,497.8
CHA_BRU_018,16,1,1,Avez-vous vu du linge sale sur cette photo ? ,6,6,1,4.86,502.7
