id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
TRA_MAS_065,100,1,0,Les nuages sont gris. ,0,0,1,1.41,31.14
TRA_MAS_065,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.42,40.59
TRA_MAS_065,102,1,0,Avez-vous vu un éléphant ? ,6,6,1,1.55,51.76
TRA_MAS_065,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.16,73.83
TRA_MAS_065,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.43,79.3
TRA_MAS_065,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.42,87.58
TRA_MAS_065,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.85,90.48
TRA_MAS_065,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.2,97.9
TRA_MAS_065,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.7,111.16
TRA_MAS_065,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.27,114.46
TRA_MAS_065,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,0.83,115.34
TRA_MAS_065,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.75,122.04
TRA_MAS_065,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,4.87,126.94
TRA_MAS_065,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,2.45,133.18
TRA_MAS_065,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,1.92,135.14
TRA_MAS_065,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.44,137.61
TRA_MAS_065,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.12,145.09
TRA_MAS_065,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.09,147.21
TRA_MAS_065,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.53,148.79
TRA_MAS_065,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.59,156.65
TRA_MAS_065,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.46,159.15
TRA_MAS_065,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.77,174.97
TRA_MAS_065,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.55,179.56
