id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
LAN_PIE_012,100,1,0,Les nuages sont gris. ,0,0,1,6.8,106.28
LAN_PIE_012,100,2,0,Les nuages sont gris. ,0,0,1,2.31,119.46
LAN_PIE_012,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.35,130.42
LAN_PIE_012,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,0.3,135.35
LAN_PIE_012,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.74,147.22
LAN_PIE_012,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.22,154.25
LAN_PIE_012,102,3,0,Avez-vous vu un éléphant ? ,6,6,1,1.06,162.81
LAN_PIE_012,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,7.52,200.03
LAN_PIE_012,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.21,204.29
LAN_PIE_012,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.28,214.1
LAN_PIE_012,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.18,215.31
LAN_PIE_012,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.32,223.21
LAN_PIE_012,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,4.11,235.13
LAN_PIE_012,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.06,239.23
LAN_PIE_012,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,3.68,242.94
LAN_PIE_012,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.75,256.06
LAN_PIE_012,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.32,257.42
LAN_PIE_012,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.52,258.98
LAN_PIE_012,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,3.79,267.48
LAN_PIE_012,3,1,1,Avez-vous vu une corde à sauter ? ,0,6,0,1.04,268.56
LAN_PIE_012,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.53,275.14
LAN_PIE_012,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.63,277.81
LAN_PIE_012,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.56,279.42
LAN_PIE_012,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.02,286.05
LAN_PIE_012,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.17,289.27
LAN_PIE_012,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,5.44,301.88
LAN_PIE_012,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.99,304.91
LAN_PIE_012,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.08,317.39
LAN_PIE_012,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.01,319.45
LAN_PIE_012,6,3,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,0.75,327.81
LAN_PIE_012,6,3,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,0.9,328.77
LAN_PIE_012,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,6,0,0,4.35,337.75
LAN_PIE_012,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.54,340.34
LAN_PIE_012,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.64,346.71
LAN_PIE_012,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.85,348.61
LAN_PIE_012,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,3.01,357.85
LAN_PIE_012,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,0.69,367.46
LAN_PIE_012,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.78,376.37
LAN_PIE_012,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,5.46,381.86
LAN_PIE_012,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,0.85,387.72
LAN_PIE_012,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.2,388.95
LAN_PIE_012,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.71,396.06
LAN_PIE_012,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.04,398.14
LAN_PIE_012,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.87,407.26
LAN_PIE_012,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.91,408.22
LAN_PIE_012,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.36,415.81
LAN_PIE_012,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,3.62,419.47
LAN_PIE_012,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,3.4,422.92
LAN_PIE_012,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.0,428.54
LAN_PIE_012,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,2.24,441.45
LAN_PIE_012,13,1,1,La pièce est-elle rangée ? ,0,0,1,1.82,443.32
