id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
TOU-YOA_011,100,1,0,Les nuages sont gris. ,6,0,0,2.6,62.3
TOU-YOA_011,100,2,0,Les nuages sont gris. ,6,0,0,3.58,71.87
TOU-YOA_011,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,4.46,84.77
TOU-YOA_011,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,0.43,89.58
TOU-YOA_011,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,3.75,102.4
TOU-YOA_011,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.44,109.87
TOU-YOA_011,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.1,132.68
TOU-YOA_011,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,0,6,0,2.8,135.53
TOU-YOA_011,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.64,140.26
TOU-YOA_011,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.59,141.89
TOU-YOA_011,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,1.57,147.87
TOU-YOA_011,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.14,158.27
TOU-YOA_011,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.86,160.18
TOU-YOA_011,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,0.59,160.82
TOU-YOA_011,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.71,167.88
TOU-YOA_011,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.39,170.31
TOU-YOA_011,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.45,176.17
TOU-YOA_011,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.33,177.54
