id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
PEI_OCE_013,100,1,0,Les nuages sont gris. ,0,0,1,1.39,93.47
PEI_OCE_013,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,4.03,105.7
PEI_OCE_013,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.14,112.54
PEI_OCE_013,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.93,125.33
PEI_OCE_013,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.99,152.84
PEI_OCE_013,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.55,155.43
PEI_OCE_013,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.39,162.94
PEI_OCE_013,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.38,164.36
PEI_OCE_013,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.99,171.82
PEI_OCE_013,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.67,180.03
PEI_OCE_013,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.16,191.64
PEI_OCE_013,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.36,193.04
PEI_OCE_013,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.05,195.14
PEI_OCE_013,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,6.5,212.44
PEI_OCE_013,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.99,213.48
PEI_OCE_013,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.85,214.36
PEI_OCE_013,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.57,220.47
PEI_OCE_013,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.97,222.49
PEI_OCE_013,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.89,228.31
PEI_OCE_013,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.7,229.06
PEI_OCE_013,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.02,234.71
PEI_OCE_013,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.78,236.53
PEI_OCE_013,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.22,237.78
PEI_OCE_013,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.31,242.48
PEI_OCE_013,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.23,243.75
PEI_OCE_013,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.43,245.22
PEI_OCE_013,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.89,251.64
PEI_OCE_013,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.27,253.95
PEI_OCE_013,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.62,260.43
PEI_OCE_013,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.93,261.4
PEI_OCE_013,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.63,271.74
PEI_OCE_013,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.08,273.87
PEI_OCE_013,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,7.93,289.33
PEI_OCE_013,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.25,290.64
PEI_OCE_013,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.41,297.37
PEI_OCE_013,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.17,299.59
PEI_OCE_013,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.15,305.15
PEI_OCE_013,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.61,307.81
PEI_OCE_013,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,2.44,318.13
PEI_OCE_013,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,1.35,326.57
PEI_OCE_013,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.16,334.04
PEI_OCE_013,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.67,336.74
PEI_OCE_013,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,0.84,343.18
PEI_OCE_013,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.69,344.91
PEI_OCE_013,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.97,351.29
PEI_OCE_013,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.36,353.7
PEI_OCE_013,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,0.93,358.8
PEI_OCE_013,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.73,359.58
PEI_OCE_013,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.39,366.28
PEI_OCE_013,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.64,367.96
PEI_OCE_013,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,1.98,370.0
PEI_OCE_013,11,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.89,377.14
PEI_OCE_013,11,2,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.33,378.51
