id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
MAZ_CER_017,100,1,0,Les nuages sont gris. ,0,0,1,12.35,74.81
MAZ_CER_017,100,2,0,Les nuages sont gris. ,6,0,0,0.02,79.73
MAZ_CER_017,100,3,0,Les nuages sont gris. ,0,0,1,0.89,85.03
MAZ_CER_017,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,9.33,100.64
MAZ_CER_017,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.44,106.21
MAZ_CER_017,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,6.17,121.61
MAZ_CER_017,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.63,129.72
MAZ_CER_017,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.42,152.87
MAZ_CER_017,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.94,156.85
MAZ_CER_017,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.15,163.41
MAZ_CER_017,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.71,164.15
MAZ_CER_017,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.6,169.64
MAZ_CER_017,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.86,170.54
MAZ_CER_017,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.37,176.24
MAZ_CER_017,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.95,189.14
MAZ_CER_017,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.37,191.55
MAZ_CER_017,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.83,194.43
MAZ_CER_017,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,2.07,204.3
MAZ_CER_017,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.37,205.7
MAZ_CER_017,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.3,207.04
MAZ_CER_017,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,2.21,217.81
MAZ_CER_017,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.93,218.78
MAZ_CER_017,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.84,219.66
MAZ_CER_017,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.13,226.11
MAZ_CER_017,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.11,228.26
MAZ_CER_017,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.75,233.88
MAZ_CER_017,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.84,234.77
MAZ_CER_017,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.27,239.51
MAZ_CER_017,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.76,242.32
MAZ_CER_017,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.44,243.81
MAZ_CER_017,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.34,250.4
MAZ_CER_017,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.11,251.56
MAZ_CER_017,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.85,252.45
MAZ_CER_017,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,3.16,260.21
MAZ_CER_017,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.5,262.77
MAZ_CER_017,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,6,0,0,3.69,273.29
MAZ_CER_017,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,1.91,275.24
