id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
LOT_JAV_030,100,1,0,Les nuages sont gris. ,0,0,1,2.47,50.59
LOT_JAV_030,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,2.8,61.54
LOT_JAV_030,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.36,73.05
LOT_JAV_030,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.18,81.87
LOT_JAV_030,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.88,106.88
LOT_JAV_030,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.84,111.76
LOT_JAV_030,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.07,120.74
LOT_JAV_030,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.78,121.57
LOT_JAV_030,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.57,128.25
LOT_JAV_030,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,5.7,142.34
LOT_JAV_030,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.9,144.28
LOT_JAV_030,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.7,147.04
LOT_JAV_030,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.3,153.25
LOT_JAV_030,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.67,154.96
LOT_JAV_030,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.0,160.24
LOT_JAV_030,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.79,163.08
LOT_JAV_030,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.46,163.58
LOT_JAV_030,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.5,169.52
LOT_JAV_030,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.35,170.92
LOT_JAV_030,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.49,172.47
LOT_JAV_030,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,4.07,181.27
LOT_JAV_030,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.91,183.23
LOT_JAV_030,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.41,193.33
LOT_JAV_030,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.84,196.21
LOT_JAV_030,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,6,0,0,3.06,204.6
LOT_JAV_030,7,1,1,Le nom inscrit sur la première tombe est : ,6,0,0,3.09,207.75
LOT_JAV_030,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.16,213.75
LOT_JAV_030,7,2,1,Le nom inscrit sur la première tombe est : ,6,0,0,2.51,216.3
LOT_JAV_030,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,4.07,226.79
