id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
LAK_CAM_036,100,1,0,Les nuages sont gris. ,0,0,1,1.43,35.95
LAK_CAM_036,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.38,46.35
LAK_CAM_036,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,1.37,57.55
LAK_CAM_036,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,7.64,84.56
LAK_CAM_036,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,2.54,87.14
LAK_CAM_036,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.99,94.67
LAK_CAM_036,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,4.23,106.79
LAK_CAM_036,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.2,112.03
LAK_CAM_036,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,2.22,114.29
LAK_CAM_036,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.58,121.83
LAK_CAM_036,3,1,1,Avez-vous vu une corde � sauter ? ,0,6,0,4.25,126.11
LAK_CAM_036,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.05,131.97
LAK_CAM_036,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,0.67,132.67
LAK_CAM_036,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.64,136.84
LAK_CAM_036,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,1.97,138.85
LAK_CAM_036,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.6,140.5
LAK_CAM_036,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,1.91,148.44
LAK_CAM_036,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.15,150.63
LAK_CAM_036,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,2.3,160.94
LAK_CAM_036,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,2.57,163.57
LAK_CAM_036,6,2,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.01,171.91
LAK_CAM_036,6,2,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.14,173.09
LAK_CAM_036,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.52,178.67
LAK_CAM_036,7,1,1,Le nom inscrit sur la premi�re tombe est : ,6,0,0,7.27,185.99
LAK_CAM_036,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.65,192.28
LAK_CAM_036,7,2,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,1.52,193.85
LAK_CAM_036,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,3.41,203.79
