id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
GAL_AUR_019,100,1,0,Les nuages sont gris. ,0,0,1,2.11,41.22
GAL_AUR_019,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.59,50.68
GAL_AUR_019,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.06,58.14
GAL_AUR_019,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.22,68.95
GAL_AUR_019,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.73,92.56
GAL_AUR_019,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,6.04,98.64
GAL_AUR_019,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.11,106.51
GAL_AUR_019,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.54,108.09
GAL_AUR_019,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.56,114.61
GAL_AUR_019,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.74,127.72
GAL_AUR_019,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.7,130.46
GAL_AUR_019,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.05,132.55
GAL_AUR_019,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.29,145.57
GAL_AUR_019,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.38,146.99
GAL_AUR_019,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.3,148.33
GAL_AUR_019,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.85,155.1
GAL_AUR_019,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,4.79,159.94
GAL_AUR_019,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.07,165.31
GAL_AUR_019,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.99,166.34
GAL_AUR_019,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.5,171.31
GAL_AUR_019,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,1.85,173.22
GAL_AUR_019,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.48,174.73
GAL_AUR_019,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.48,180.61
GAL_AUR_019,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.16,181.8
