id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
SMA_ZOU_008,100,1,0,Les nuages sont gris. ,0,0,1,6.94,83.06
SMA_ZOU_008,100,2,0,Les nuages sont gris. ,0,0,1,5.14,98.65
SMA_ZOU_008,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,6.04,116.49
SMA_ZOU_008,102,1,0,Avez-vous vu un éléphant ? ,6,6,1,3.97,133.02
SMA_ZOU_008,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.4,162.17
SMA_ZOU_008,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,6.85,169.08
SMA_ZOU_008,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.14,181.11
SMA_ZOU_008,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.69,185.86
SMA_ZOU_008,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.05,196.14
SMA_ZOU_008,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.92,198.12
SMA_ZOU_008,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.96,206.91
SMA_ZOU_008,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.74,220.99
SMA_ZOU_008,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,6.31,227.36
SMA_ZOU_008,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.34,229.76
SMA_ZOU_008,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,4.87,244.1
SMA_ZOU_008,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,5.6,249.75
SMA_ZOU_008,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.83,260.11
SMA_ZOU_008,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.0,262.17
