id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
TAM_MEI_029,100,1,0,Les nuages sont gris. ,0,0,1,3.36,48.21
TAM_MEI_029,100,2,0,Les nuages sont gris. ,0,0,1,1.64,55.64
TAM_MEI_029,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.11,65.96
TAM_MEI_029,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.37,72.21
TAM_MEI_029,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.75,84.05
TAM_MEI_029,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.16,111.21
TAM_MEI_029,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.0,114.26
TAM_MEI_029,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.2,120.12
TAM_MEI_029,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.72,120.88
TAM_MEI_029,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.84,126.16
TAM_MEI_029,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.75,126.94
TAM_MEI_029,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.41,132.45
TAM_MEI_029,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,3.03,143.89
TAM_MEI_029,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.29,146.22
TAM_MEI_029,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.35,148.61
TAM_MEI_029,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,2.0,159.28
TAM_MEI_029,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.56,160.88
TAM_MEI_029,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.94,161.86
TAM_MEI_029,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.52,169.08
TAM_MEI_029,3,1,1,Avez-vous vu une corde à sauter ? ,0,6,0,2.53,171.66
TAM_MEI_029,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.03,176.79
TAM_MEI_029,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.91,177.73
TAM_MEI_029,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.0,181.97
TAM_MEI_029,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.71,183.71
TAM_MEI_029,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.74,186.5
TAM_MEI_029,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.09,190.87
TAM_MEI_029,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.27,192.18
TAM_MEI_029,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.15,193.37
TAM_MEI_029,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.7,200.98
TAM_MEI_029,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.4,202.43
TAM_MEI_029,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.76,214.09
TAM_MEI_029,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.53,216.66
TAM_MEI_029,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.0,225.12
TAM_MEI_029,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.33,226.5
TAM_MEI_029,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.49,232.33
TAM_MEI_029,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,3.41,235.78
TAM_MEI_029,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.82,246.34
TAM_MEI_029,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,0.59,246.98
TAM_MEI_029,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,2.66,255.84
TAM_MEI_029,8,2,0,De quelle couleur est le téléphone ? ,0,0,1,0.76,264.29
TAM_MEI_029,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,3.22,273.13
TAM_MEI_029,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.16,275.33
TAM_MEI_029,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.08,281.88
TAM_MEI_029,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,0.82,282.74
TAM_MEI_029,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.89,291.83
TAM_MEI_029,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.28,294.16
TAM_MEI_029,10,2,0,Tous les personnages ont-ils un casque ? ,6,6,1,4.73,303.27
TAM_MEI_029,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,6,0,0,0.71,304.02
TAM_MEI_029,10,3,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.31,310.18
TAM_MEI_029,10,3,1,Combien y a-t-il de personnages sur cette photo ? ,6,0,0,5.42,315.65
TAM_MEI_029,10,4,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.56,322.67
TAM_MEI_029,10,4,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.58,323.29
TAM_MEI_029,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.41,330.05
TAM_MEI_029,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,3.15,333.25
TAM_MEI_029,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.71,336.0
TAM_MEI_029,11,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.64,342.96
TAM_MEI_029,11,2,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.18,344.19
TAM_MEI_029,11,2,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,3.62,347.84
TAM_MEI_029,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.59,352.46
TAM_MEI_029,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,6,0,1.21,363.87
TAM_MEI_029,13,1,1,La pièce est-elle rangée ? ,0,0,1,2.16,366.07
TAM_MEI_029,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,1.98,368.09
TAM_MEI_029,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,2.25,370.39
TAM_MEI_029,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,6,0,1.33,381.41
TAM_MEI_029,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.05,382.49
TAM_MEI_029,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,2.83,385.38
TAM_MEI_029,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,2.11,387.53
TAM_MEI_029,14,1,0,Avez-vous vu des mouchoirs usagés ? ,0,6,0,2.4,399.66
