id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
YOU_MOH_063,100,1,0,Les nuages sont gris. ,0,0,1,1.68,51.24
YOU_MOH_063,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.96,62.21
YOU_MOH_063,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.48,73.75
YOU_MOH_063,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.08,83.08
YOU_MOH_063,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.5,106.3
YOU_MOH_063,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.41,110.76
YOU_MOH_063,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.56,126.55
YOU_MOH_063,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,5.4,140.09
YOU_MOH_063,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,9.21,149.33
YOU_MOH_063,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.95,152.32
YOU_MOH_063,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.04,165.22
YOU_MOH_063,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.15,166.4
YOU_MOH_063,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.01,167.47
YOU_MOH_063,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.62,174.38
YOU_MOH_063,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.5,175.91
YOU_MOH_063,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.42,181.72
YOU_MOH_063,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.15,183.92
YOU_MOH_063,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.54,185.5
YOU_MOH_063,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.04,192.47
YOU_MOH_063,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.23,195.75
YOU_MOH_063,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,4.45,207.59
YOU_MOH_063,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.49,210.11
YOU_MOH_063,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,4.29,220.48
YOU_MOH_063,7,1,1,Le nom inscrit sur la première tombe est : ,6,0,0,6.66,227.18
YOU_MOH_063,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.92,235.26
YOU_MOH_063,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.48,237.78
YOU_MOH_063,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,2.93,249.3
YOU_MOH_063,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.38,257.19
YOU_MOH_063,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,2.92,260.14
YOU_MOH_063,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.1,268.7
YOU_MOH_063,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.86,271.6
YOU_MOH_063,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,4.06,281.6
