id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
DAU_LEA_039,100,1,0,Les nuages sont gris. ,0,0,1,1.45,48.8
DAU_LEA_039,100,2,0,Les nuages sont gris. ,0,0,1,1.2,55.46
DAU_LEA_039,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,3.47,66.11
DAU_LEA_039,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,0.66,72.38
DAU_LEA_039,102,1,0,Avez-vous vu un �l�phant ? ,6,6,1,3.63,85.58
DAU_LEA_039,102,2,0,Avez-vous vu un �l�phant ? ,6,6,1,1.02,93.89
DAU_LEA_039,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.96,115.71
DAU_LEA_039,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,4.02,119.78
DAU_LEA_039,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.48,129.72
DAU_LEA_039,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,0.68,130.44
DAU_LEA_039,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.48,136.72
DAU_LEA_039,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.37,147.93
DAU_LEA_039,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.0,150.95
DAU_LEA_039,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,2.72,153.71
DAU_LEA_039,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,3.06,165.67
DAU_LEA_039,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.9,166.6
DAU_LEA_039,2,2,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,1.58,168.24
DAU_LEA_039,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.46,173.67
DAU_LEA_039,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,1.9,175.61
DAU_LEA_039,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.5,181.99
DAU_LEA_039,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,1.15,183.19
DAU_LEA_039,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.1,187.23
DAU_LEA_039,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.89,190.16
DAU_LEA_039,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.29,191.49
DAU_LEA_039,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,1.46,196.47
DAU_LEA_039,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.07,198.58
DAU_LEA_039,4,2,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.73,200.36
DAU_LEA_039,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,6,0,0,2.38,207.2
DAU_LEA_039,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.95,209.19
DAU_LEA_039,5,2,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,2.48,216.77
DAU_LEA_039,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.21,218.02
DAU_LEA_039,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.56,226.75
DAU_LEA_039,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,2.77,229.56
DAU_LEA_039,6,2,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,0.62,238.12
DAU_LEA_039,6,2,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.94,240.1
DAU_LEA_039,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.9,245.98
DAU_LEA_039,7,1,1,Le nom inscrit sur la premi�re tombe est : ,6,0,0,4.13,250.15
DAU_LEA_039,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.58,257.61
DAU_LEA_039,7,2,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,1.12,258.77
DAU_LEA_039,8,1,0,De quelle couleur est le t�l�phone ? ,0,0,1,2.96,267.98
DAU_LEA_039,8,2,0,De quelle couleur est le t�l�phone ? ,6,0,0,0.63,275.94
DAU_LEA_039,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,1.81,283.21
DAU_LEA_039,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.71,284.95
DAU_LEA_039,10,1,0,Tous les personnages ont-ils un casque ? ,6,6,1,2.53,291.49
