id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
UZU_ALA_053,100,1,0,Les nuages sont gris. ,0,0,1,2.62,100.89
UZU_ALA_053,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.5,112.87
UZU_ALA_053,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,1.95,130.06
UZU_ALA_053,102,2,0,Avez-vous vu un �l�phant ? ,6,6,1,0.89,138.42
UZU_ALA_053,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,10.09,171.57
UZU_ALA_053,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,3.64,175.26
UZU_ALA_053,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.72,181.06
UZU_ALA_053,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,0.53,181.63
UZU_ALA_053,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.7,187.47
UZU_ALA_053,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.01,198.39
UZU_ALA_053,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.24,200.67
UZU_ALA_053,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,1.71,202.42
UZU_ALA_053,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.2,212.59
UZU_ALA_053,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,3.45,216.08
UZU_ALA_053,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.18,223.37
UZU_ALA_053,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,3.36,226.78
UZU_ALA_053,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.11,227.92
UZU_ALA_053,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.78,233.26
UZU_ALA_053,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.23,234.53
UZU_ALA_053,4,2,2,Avez-vous vu une corde � sauter ? ,6,6,1,0.98,235.54
UZU_ALA_053,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,1.94,242.12
UZU_ALA_053,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.68,245.85
UZU_ALA_053,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,3.0,256.87
UZU_ALA_053,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.81,258.72
UZU_ALA_053,6,2,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.75,267.78
UZU_ALA_053,6,2,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.12,268.95
UZU_ALA_053,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.58,276.0
UZU_ALA_053,7,1,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,3.13,279.18
UZU_ALA_053,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.28,285.6
UZU_ALA_053,7,2,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,0.88,286.53
UZU_ALA_053,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,3.1,296.28
UZU_ALA_053,8,2,0,De quelle couleur est le t�l�phone ? ,0,0,1,0.66,304.66
UZU_ALA_053,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,1.95,311.88
UZU_ALA_053,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.79,313.71
UZU_ALA_053,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.82,320.27
UZU_ALA_053,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.56,322.87
UZU_ALA_053,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.08,329.54
UZU_ALA_053,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.88,330.46
UZU_ALA_053,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.79,337.48
