id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
ROD_JAD_035,100,1,0,Les nuages sont gris. ,0,0,1,2.14,56.04
ROD_JAD_035,100,2,0,Les nuages sont gris. ,0,0,1,1.73,63.16
ROD_JAD_035,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,4.42,77.19
ROD_JAD_035,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,0.91,83.8
ROD_JAD_035,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,3.75,97.67
ROD_JAD_035,102,2,0,Avez-vous vu un �l�phant ? ,0,6,0,0.92,105.87
ROD_JAD_035,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.36,128.91
ROD_JAD_035,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,2.92,131.87
ROD_JAD_035,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.41,139.52
ROD_JAD_035,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,1.6,141.15
ROD_JAD_035,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.27,147.23
ROD_JAD_035,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.76,158.43
ROD_JAD_035,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.32,160.79
ROD_JAD_035,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,2.99,163.81
ROD_JAD_035,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.63,170.75
ROD_JAD_035,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,3.45,174.24
ROD_JAD_035,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.81,182.17
ROD_JAD_035,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,1.31,183.52
ROD_JAD_035,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.1,187.58
ROD_JAD_035,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.56,189.18
ROD_JAD_035,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.76,190.99
ROD_JAD_035,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,1.94,197.88
ROD_JAD_035,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.8,200.75
ROD_JAD_035,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,2.64,211.09
ROD_JAD_035,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,2.54,213.68
ROD_JAD_035,6,2,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.18,223.74
ROD_JAD_035,6,2,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.12,224.91
ROD_JAD_035,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.86,231.69
ROD_JAD_035,7,1,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,3.52,235.27
ROD_JAD_035,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.78,241.38
ROD_JAD_035,7,2,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,0.78,242.21
ROD_JAD_035,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,4.0,252.56
ROD_JAD_035,8,2,0,De quelle couleur est le t�l�phone ? ,0,0,1,1.66,261.92
ROD_JAD_035,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,2.74,270.96
ROD_JAD_035,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.99,274.0
ROD_JAD_035,9,2,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,1.07,281.95
ROD_JAD_035,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.42,283.41
ROD_JAD_035,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,3.26,291.5
ROD_JAD_035,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,6,0,0,2.3,293.84
ROD_JAD_035,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.38,301.59
ROD_JAD_035,11,1,1,Avez-vous vu des t�ches de peinture sur le v�hicule ? ,6,6,1,1.79,303.43
ROD_JAD_035,11,1,2,Avez-vous vu des pots de peinture sur le capot du v�hicule ? ,6,6,1,1.98,305.45
ROD_JAD_035,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.65,310.88
