id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
ZIC_NAD_040,100,1,0,Les nuages sont gris. ,0,0,1,10.55,41.06
ZIC_NAD_040,100,2,0,Les nuages sont gris. ,0,0,1,2.59,50.29
ZIC_NAD_040,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,4.29,63.6
ZIC_NAD_040,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,2.54,78.75
ZIC_NAD_040,102,2,0,Avez-vous vu un �l�phant ? ,6,6,1,1.66,88.27
ZIC_NAD_040,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.02,113.52
ZIC_NAD_040,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,7.65,121.22
ZIC_NAD_040,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.12,130.6
ZIC_NAD_040,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,0.78,131.43
ZIC_NAD_040,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.9,138.06
ZIC_NAD_040,0,3,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,1.71,139.82
ZIC_NAD_040,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.45,148.18
ZIC_NAD_040,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,7.37,175.77
ZIC_NAD_040,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.03,178.84
ZIC_NAD_040,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,3.53,182.41
ZIC_NAD_040,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.98,194.54
ZIC_NAD_040,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.53,200.11
ZIC_NAD_040,2,2,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,1.56,201.72
ZIC_NAD_040,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.07,215.98
ZIC_NAD_040,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.01,218.04
ZIC_NAD_040,2,3,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,2.13,220.21
ZIC_NAD_040,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.02,227.5
ZIC_NAD_040,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,2.41,229.95
ZIC_NAD_040,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.44,236.88
ZIC_NAD_040,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,3.43,240.36
ZIC_NAD_040,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.33,248.83
ZIC_NAD_040,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.43,251.29
ZIC_NAD_040,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.74,253.07
ZIC_NAD_040,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.92,261.7
ZIC_NAD_040,4,2,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.27,264.02
