id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
SMI_MAR_028,100,1,0,Les nuages sont gris. ,0,0,1,2.19,44.33
SMI_MAR_028,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.9,54.3
SMI_MAR_028,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,4.01,67.74
SMI_MAR_028,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,6.21,94.79
SMI_MAR_028,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,5.01,99.85
SMI_MAR_028,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.47,110.38
SMI_MAR_028,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.99,111.41
SMI_MAR_028,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.01,119.87
SMI_MAR_028,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.39,131.12
SMI_MAR_028,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,6.53,137.69
SMI_MAR_028,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,4.19,141.91
SMI_MAR_028,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.19,149.42
SMI_MAR_028,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.64,151.1
SMI_MAR_028,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.38,157.19
SMI_MAR_028,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.94,159.17
SMI_MAR_028,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.75,160.96
SMI_MAR_028,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.91,168.21
SMI_MAR_028,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.57,170.81
SMI_MAR_028,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.29,181.47
SMI_MAR_028,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,3.01,184.52
