id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
JAL_MAE_061,100,1,0,Les nuages sont gris. ,6,0,0,18.15,91.59
JAL_MAE_061,100,2,0,Les nuages sont gris. ,6,0,0,3.19,116.0
JAL_MAE_061,100,3,0,Les nuages sont gris. ,6,0,0,1.11,120.36
JAL_MAE_061,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,11.19,140.79
JAL_MAE_061,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.86,147.74
JAL_MAE_061,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.66,160.69
JAL_MAE_061,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.93,170.02
JAL_MAE_061,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,6.0,196.46
JAL_MAE_061,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,7.94,204.46
JAL_MAE_061,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.36,213.88
JAL_MAE_061,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,2.41,216.34
JAL_MAE_061,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.58,224.39
JAL_MAE_061,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.75,225.2
JAL_MAE_061,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.29,232.78
JAL_MAE_061,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.43,239.76
JAL_MAE_061,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.61,256.69
JAL_MAE_061,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.74,262.47
JAL_MAE_061,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,3.61,266.13
JAL_MAE_061,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.1,280.93
JAL_MAE_061,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.17,282.14
JAL_MAE_061,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.74,283.92
JAL_MAE_061,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.6,296.71
JAL_MAE_061,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.62,298.37
JAL_MAE_061,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.24,299.66
JAL_MAE_061,2,4,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.34,312.9
JAL_MAE_061,2,4,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.83,314.78
JAL_MAE_061,2,4,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.86,315.7
JAL_MAE_061,2,5,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.94,325.71
JAL_MAE_061,2,5,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.67,327.42
JAL_MAE_061,2,5,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.45,328.94
JAL_MAE_061,2,6,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.1,338.4
JAL_MAE_061,2,6,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.48,340.93
JAL_MAE_061,2,6,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.83,341.8
JAL_MAE_061,2,7,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.17,350.87
JAL_MAE_061,2,7,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.98,351.89
JAL_MAE_061,2,7,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.64,353.59
JAL_MAE_061,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.12,360.13
JAL_MAE_061,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.69,362.88
JAL_MAE_061,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.33,368.8
JAL_MAE_061,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.14,370.0
JAL_MAE_061,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.6,376.13
JAL_MAE_061,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.13,378.3
JAL_MAE_061,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.18,379.53
JAL_MAE_061,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.51,385.76
JAL_MAE_061,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.71,387.51
JAL_MAE_061,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.83,388.4
JAL_MAE_061,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.35,395.67
JAL_MAE_061,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.62,398.33
JAL_MAE_061,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.71,405.61
JAL_MAE_061,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.66,407.31
JAL_MAE_061,5,3,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.77,414.84
JAL_MAE_061,5,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.5,417.39
JAL_MAE_061,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,3.35,429.1
JAL_MAE_061,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.55,431.7
JAL_MAE_061,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.14,441.07
JAL_MAE_061,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.48,442.6
JAL_MAE_061,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.44,449.59
JAL_MAE_061,7,1,1,Le nom inscrit sur la première tombe est : ,6,0,0,5.58,455.23
JAL_MAE_061,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.23,461.04
JAL_MAE_061,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,0.05,461.13
JAL_MAE_061,7,3,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,0.99,466.77
JAL_MAE_061,7,3,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.61,469.43
JAL_MAE_061,7,4,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.51,475.33
JAL_MAE_061,7,4,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.28,476.66
JAL_MAE_061,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,2.65,486.3
JAL_MAE_061,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,2.54,495.31
JAL_MAE_061,8,3,0,De quelle couleur est le téléphone ? ,6,0,0,5.16,506.76
