id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
ELA_ABD_005,100,1,0,Les nuages sont gris. ,0,0,1,8.87,87.72
ELA_ABD_005,100,2,0,Les nuages sont gris. ,0,0,1,2.47,97.11
ELA_ABD_005,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,10.77,119.5
ELA_ABD_005,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,4.87,130.37
ELA_ABD_005,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.91,144.2
ELA_ABD_005,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.03,153.04
ELA_ABD_005,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,8.35,187.88
ELA_ABD_005,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,9.06,197.0
ELA_ABD_005,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.57,207.38
ELA_ABD_005,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,6.22,213.64
ELA_ABD_005,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.82,221.79
ELA_ABD_005,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.49,225.33
ELA_ABD_005,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.2,235.46
ELA_ABD_005,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.65,244.41
ELA_ABD_005,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,5.22,258.41
ELA_ABD_005,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,5.48,263.94
ELA_ABD_005,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,5.45,269.44
ELA_ABD_005,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.56,283.77
ELA_ABD_005,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,4.27,288.09
ELA_ABD_005,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.35,292.56
ELA_ABD_005,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.81,304.67
ELA_ABD_005,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.02,308.75
ELA_ABD_005,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.51,311.3
ELA_ABD_005,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.7,319.27
ELA_ABD_005,3,1,1,Avez-vous vu une corde à sauter ? ,0,6,0,4.81,324.13
