id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
BOU_EMM_067,100,1,0,Les nuages sont gris. ,0,0,1,2.57,73.88
BOU_EMM_067,100,2,0,Les nuages sont gris. ,0,0,1,2.86,84.92
BOU_EMM_067,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.87,96.61
BOU_EMM_067,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,1.4,107.28
BOU_EMM_067,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.91,130.97
BOU_EMM_067,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.31,135.32
BOU_EMM_067,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.28,141.17
BOU_EMM_067,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.82,142.03
BOU_EMM_067,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.24,147.95
BOU_EMM_067,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.66,159.17
BOU_EMM_067,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.6,160.81
BOU_EMM_067,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.88,163.72
BOU_EMM_067,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.02,173.73
BOU_EMM_067,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.69,174.47
BOU_EMM_067,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.91,175.42
BOU_EMM_067,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.74,181.47
BOU_EMM_067,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.98,183.49
BOU_EMM_067,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.96,189.97
BOU_EMM_067,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.86,190.87
BOU_EMM_067,3,3,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.28,194.94
BOU_EMM_067,3,3,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.36,195.34
BOU_EMM_067,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.01,198.99
BOU_EMM_067,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.75,200.78
BOU_EMM_067,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.18,202.01
BOU_EMM_067,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.0,208.73
BOU_EMM_067,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.98,210.76
BOU_EMM_067,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,4.34,223.43
BOU_EMM_067,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,4.14,227.62
BOU_EMM_067,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.12,236.24
BOU_EMM_067,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.18,237.46
BOU_EMM_067,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.35,244.03
BOU_EMM_067,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.97,246.05
BOU_EMM_067,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.11,251.74
BOU_EMM_067,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,0.84,252.62
BOU_EMM_067,8,1,0,De quelle couleur est le téléphone ? ,6,0,0,1.69,260.82
BOU_EMM_067,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,3.49,270.89
BOU_EMM_067,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.89,273.82
BOU_EMM_067,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,1.04,280.54
BOU_EMM_067,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.59,282.17
BOU_EMM_067,10,1,0,Tous les personnages ont-ils un casque ? ,6,6,1,2.13,288.68
BOU_EMM_067,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.94,290.67
BOU_EMM_067,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,0.97,296.37
BOU_EMM_067,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,0.86,297.27
BOU_EMM_067,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.14,303.66
BOU_EMM_067,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,1.77,305.48
BOU_EMM_067,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.11,307.64
BOU_EMM_067,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.38,313.62
BOU_EMM_067,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.32,329.02
BOU_EMM_067,13,1,1,La pièce est-elle rangée ? ,0,0,1,1.34,330.41
BOU_EMM_067,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,2.94,333.38
BOU_EMM_067,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,2.53,335.98
BOU_EMM_067,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,2.82,348.2
BOU_EMM_067,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.06,349.3
BOU_EMM_067,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,6.74,356.07
BOU_EMM_067,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,2.66,358.78
