id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
MEL_JUL_069,100,1,0,Les nuages sont gris. ,0,0,1,2.04,213.56
MEL_JUL_069,100,2,0,Les nuages sont gris. ,0,0,1,0.91,220.79
MEL_JUL_069,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,1.99,229.99
MEL_JUL_069,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.46,238.41
MEL_JUL_069,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,3.12,251.32
MEL_JUL_069,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,0.84,259.46
MEL_JUL_069,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.03,301.68
MEL_JUL_069,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.46,305.19
MEL_JUL_069,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.33,312.25
MEL_JUL_069,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.87,313.15
MEL_JUL_069,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.38,319.23
MEL_JUL_069,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.61,331.66
MEL_JUL_069,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.36,333.06
MEL_JUL_069,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,4.12,337.22
MEL_JUL_069,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.27,344.55
MEL_JUL_069,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,5.37,349.95
MEL_JUL_069,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.53,356.6
MEL_JUL_069,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.11,357.76
MEL_JUL_069,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.95,362.5
MEL_JUL_069,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,2.23,364.77
MEL_JUL_069,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.03,365.84
MEL_JUL_069,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.52,375.78
MEL_JUL_069,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,8.71,384.54
MEL_JUL_069,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,4.33,395.35
MEL_JUL_069,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.89,396.29
MEL_JUL_069,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,11.35,415.46
MEL_JUL_069,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,2.27,417.77
MEL_JUL_069,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.11,424.16
MEL_JUL_069,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,2.55,426.77
MEL_JUL_069,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.05,434.57
MEL_JUL_069,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.4,436.02
MEL_JUL_069,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,1.65,446.69
MEL_JUL_069,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,3.22,456.32
MEL_JUL_069,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.04,458.41
MEL_JUL_069,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,0.85,465.15
MEL_JUL_069,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,0.65,465.86
MEL_JUL_069,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.5,473.42
MEL_JUL_069,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,5.74,479.19
MEL_JUL_069,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.02,486.56
MEL_JUL_069,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.64,489.25
MEL_JUL_069,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.15,491.44
MEL_JUL_069,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.14,497.49
MEL_JUL_069,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.62,508.84
MEL_JUL_069,13,1,1,La pièce est-elle rangée ? ,0,0,1,1.31,510.2
MEL_JUL_069,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,2.42,512.66
MEL_JUL_069,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,4.07,516.79
MEL_JUL_069,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.55,527.89
MEL_JUL_069,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.32,529.26
MEL_JUL_069,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,1.38,530.68
MEL_JUL_069,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,1.4,532.14
MEL_JUL_069,14,1,0,Avez-vous vu des mouchoirs usagés ? ,0,6,0,2.19,543.95
MEL_JUL_069,14,1,1,Avez-vous vu une éponge ?,0,6,0,1.05,545.04
MEL_JUL_069,14,1,2,Avez-vous vu des serviettes usagées ?,0,6,0,1.1,546.18
MEL_JUL_069,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.89,548.12
MEL_JUL_069,14,2,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,1.25,560.07
MEL_JUL_069,14,2,1,Avez-vous vu une éponge ?,6,6,1,1.09,561.21
MEL_JUL_069,14,2,2,Avez-vous vu des serviettes usagées ?,6,6,1,1.13,562.39
MEL_JUL_069,14,2,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.85,564.29
MEL_JUL_069,15,1,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,2.64,577.72
MEL_JUL_069,15,1,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,0,6,0,1.82,579.59
MEL_JUL_069,16,1,0,Combien y a-t-il de tasses sur cette photo ? ,6,6,1,2.89,592.18
MEL_JUL_069,16,1,1,Avez-vous vu du linge sale sur cette photo ? ,6,6,1,1.43,593.67
MEL_JUL_069,16,1,2,Avez-vous vu des restes alimentaires sur cette photo ? ,0,0,1,2.05,595.77
