id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
GIR_NAT_038,100,1,0,Les nuages sont gris. ,0,0,1,2.6,80.5
GIR_NAT_038,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,6,0,0,2.31,90.92
GIR_NAT_038,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,6.64,107.67
GIR_NAT_038,102,2,0,Avez-vous vu un �l�phant ? ,0,6,0,1.41,116.91
GIR_NAT_038,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.59,140.29
GIR_NAT_038,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,0,6,0,5.49,145.82
GIR_NAT_038,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.09,154.74
GIR_NAT_038,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,2.65,157.44
GIR_NAT_038,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.87,165.67
GIR_NAT_038,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.83,178.4
GIR_NAT_038,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.37,180.8
GIR_NAT_038,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,2.63,183.48
GIR_NAT_038,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,2.54,191.25
GIR_NAT_038,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,2.28,193.59
GIR_NAT_038,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.32,200.8
GIR_NAT_038,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,7.39,208.24
GIR_NAT_038,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.78,210.07
GIR_NAT_038,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,6,0,0,2.37,217.62
GIR_NAT_038,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.5,220.17
GIR_NAT_038,5,2,0,Toutes les personnes sont-elles habill�es en blanc ? ,6,0,0,2.65,229.02
GIR_NAT_038,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.3,232.36
GIR_NAT_038,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,3.07,243.93
GIR_NAT_038,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,2.15,246.12
GIR_NAT_038,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,4.19,255.61
GIR_NAT_038,7,1,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,6.5,262.15
GIR_NAT_038,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.53,270.48
GIR_NAT_038,7,2,1,Le nom inscrit sur la premi�re tombe est : ,6,0,0,2.97,273.51
GIR_NAT_038,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,10.69,291.46
GIR_NAT_038,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,3.83,301.37
GIR_NAT_038,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,3.1,304.5
