id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
SAN_AUD_050,100,1,0,Les nuages sont gris. ,6,0,0,3.46,73.68
SAN_AUD_050,100,2,0,Les nuages sont gris. ,0,0,1,1.11,80.2
SAN_AUD_050,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.09,90.2
SAN_AUD_050,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.05,96.77
SAN_AUD_050,102,1,0,Avez-vous vu un �l�phant ? ,0,6,0,1.88,108.2
SAN_AUD_050,102,2,0,Avez-vous vu un �l�phant ? ,0,6,0,1.02,117.88
SAN_AUD_050,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.02,141.51
SAN_AUD_050,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,5.07,146.62
SAN_AUD_050,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.27,155.67
SAN_AUD_050,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.01,164.09
SAN_AUD_050,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,5.19,178.19
SAN_AUD_050,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.25,182.48
SAN_AUD_050,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,3.03,185.55
SAN_AUD_050,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.38,202.04
SAN_AUD_050,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.77,204.85
SAN_AUD_050,2,2,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,3.18,208.07
SAN_AUD_050,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,3.23,216.36
SAN_AUD_050,3,1,1,Avez-vous vu une corde � sauter ? ,6,6,1,2.94,219.34
SAN_AUD_050,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.26,228.42
SAN_AUD_050,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,4.45,232.91
SAN_AUD_050,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.76,234.71
SAN_AUD_050,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.93,241.1
SAN_AUD_050,4,2,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,4.03,245.17
SAN_AUD_050,4,2,2,Avez-vous vu une corde � sauter ? ,6,6,1,1.24,246.44
SAN_AUD_050,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,2.23,253.34
SAN_AUD_050,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.94,258.33
SAN_AUD_050,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,4.33,270.89
SAN_AUD_050,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,3.66,274.6
SAN_AUD_050,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,6,0,0,3.2,282.88
SAN_AUD_050,7,1,1,Le nom inscrit sur la premi�re tombe est : ,6,0,0,5.36,288.29
SAN_AUD_050,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.46,297.2
SAN_AUD_050,7,2,1,Le nom inscrit sur la premi�re tombe est : ,6,0,0,5.42,302.66
SAN_AUD_050,7,3,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.29,310.72
SAN_AUD_050,7,3,1,Le nom inscrit sur la premi�re tombe est : ,0,0,1,1.65,312.41
SAN_AUD_050,8,1,0,De quelle couleur est le t�l�phone ? ,6,0,0,3.21,324.14
SAN_AUD_050,8,2,0,De quelle couleur est le t�l�phone ? ,6,0,0,6.05,338.96
SAN_AUD_050,9,1,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,4.45,350.58
SAN_AUD_050,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,2.91,353.54
SAN_AUD_050,9,2,0,Combien y a-t-il de femmes en bas � gauche de l'image ? ,0,6,0,2.24,362.67
SAN_AUD_050,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.95,364.66
SAN_AUD_050,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.6,372.08
SAN_AUD_050,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.07,374.2
SAN_AUD_050,10,2,0,Tous les personnages ont-ils un casque ? ,0,6,0,1.96,382.15
SAN_AUD_050,10,2,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.25,384.45
SAN_AUD_050,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,3.96,394.79
SAN_AUD_050,11,1,1,Avez-vous vu des t�ches de peinture sur le v�hicule ? ,6,6,1,3.14,397.99
SAN_AUD_050,11,1,2,Avez-vous vu des pots de peinture sur le capot du v�hicule ? ,6,6,1,3.56,401.61
SAN_AUD_050,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.88,407.59
SAN_AUD_050,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,1.35,419.73
SAN_AUD_050,13,1,1,La pi�ce est-elle rang�e ? ,0,0,1,2.17,421.95
SAN_AUD_050,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,3.35,425.34
SAN_AUD_050,13,1,3,Avez-vous remarqu� des v�tements qui ne sont pas pli�s ? ,0,6,0,5.34,430.74
SAN_AUD_050,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,2.48,445.23
SAN_AUD_050,13,2,1,La pi�ce est-elle rang�e ? ,0,0,1,1.59,446.87
SAN_AUD_050,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,1.34,448.25
SAN_AUD_050,13,2,3,Avez-vous remarqu� des v�tements qui ne sont pas pli�s ? ,6,6,1,1.98,450.28
SAN_AUD_050,14,1,0,Avez-vous vu des mouchoirs usag�s ? ,6,6,1,2.74,463.02
SAN_AUD_050,14,1,1,Avez-vous vu une �ponge ?,0,6,0,2.5,465.57
SAN_AUD_050,14,1,2,Avez-vous vu des serviettes usag�es ?,0,6,0,5.18,470.8
SAN_AUD_050,14,1,3,Les rebords de la fen�tre sont-ils propres ? ,0,0,1,3.7,474.55
SAN_AUD_050,14,2,0,Avez-vous vu des mouchoirs usag�s ? ,6,6,1,1.68,491.67
SAN_AUD_050,14,2,1,Avez-vous vu une �ponge ?,6,6,1,1.25,492.96
SAN_AUD_050,14,2,2,Avez-vous vu des serviettes usag�es ?,6,6,1,2.51,495.52
SAN_AUD_050,14,2,3,Les rebords de la fen�tre sont-ils propres ? ,0,0,1,1.8,497.36
SAN_AUD_050,15,1,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,7.25,515.5
SAN_AUD_050,15,1,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,0,6,0,4.85,520.4
SAN_AUD_050,15,2,0,Avez-vous vu une pile de livres sur la droite de l'image ? ,6,6,1,2.58,533.84
SAN_AUD_050,15,2,1,Avez-vous vu un ceintre sur la gauche de l'image ? ,6,6,1,2.12,536.02
