id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
RAB_BAP_058,100,1,0,Les nuages sont gris. ,0,0,1,1.45,47.48
RAB_BAP_058,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.76,59.55
RAB_BAP_058,101,2,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.06,67.02
RAB_BAP_058,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.08,79.16
RAB_BAP_058,102,2,0,Avez-vous vu un éléphant ? ,6,6,1,1.08,89.09
RAB_BAP_058,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.8,112.19
RAB_BAP_058,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.89,116.13
RAB_BAP_058,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.85,123.53
RAB_BAP_058,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.79,125.36
RAB_BAP_058,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.45,132.11
RAB_BAP_058,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.75,145.09
RAB_BAP_058,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.53,147.66
RAB_BAP_058,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.52,150.21
RAB_BAP_058,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.96,162.69
RAB_BAP_058,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.49,164.22
RAB_BAP_058,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.19,165.45
RAB_BAP_058,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.74,171.57
RAB_BAP_058,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.88,174.49
RAB_BAP_058,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.88,182.11
RAB_BAP_058,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.99,183.14
RAB_BAP_058,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.42,188.22
RAB_BAP_058,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.7,190.96
RAB_BAP_058,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.56,192.55
RAB_BAP_058,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.44,198.95
RAB_BAP_058,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.44,200.44
RAB_BAP_058,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.44,201.92
RAB_BAP_058,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.35,210.28
RAB_BAP_058,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.59,212.92
RAB_BAP_058,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.45,225.87
RAB_BAP_058,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.18,230.09
RAB_BAP_058,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,2.29,240.37
RAB_BAP_058,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,0.97,241.38
RAB_BAP_058,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.28,248.04
RAB_BAP_058,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,4.1,252.18
RAB_BAP_058,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.07,258.33
