id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
LAA_ATH_055,100,1,0,Les nuages sont gris. ,0,0,1,2.3,39.6
LAA_ATH_055,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.64,50.91
LAA_ATH_055,102,1,0,Avez-vous vu un éléphant ? ,6,6,1,1.63,61.88
LAA_ATH_055,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,4.21,87.26
LAA_ATH_055,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,4.8,92.1
LAA_ATH_055,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.37,99.65
LAA_ATH_055,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,0.9,100.58
LAA_ATH_055,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.75,107.72
LAA_ATH_055,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.92,118.8
LAA_ATH_055,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.72,120.57
LAA_ATH_055,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.1,122.72
LAA_ATH_055,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.44,133.42
LAA_ATH_055,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.57,136.03
LAA_ATH_055,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.77,137.83
LAA_ATH_055,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.55,144.62
LAA_ATH_055,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.58,147.23
LAA_ATH_055,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.45,152.48
LAA_ATH_055,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,1.75,154.27
LAA_ATH_055,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.52,155.82
LAA_ATH_055,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.19,162.49
LAA_ATH_055,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.32,163.85
LAA_ATH_055,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.18,166.06
LAA_ATH_055,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.82,172.54
LAA_ATH_055,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.93,174.51
LAA_ATH_055,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.8,181.33
LAA_ATH_055,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.98,183.36
LAA_ATH_055,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.65,192.75
LAA_ATH_055,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.75,194.54
LAA_ATH_055,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.39,203.44
LAA_ATH_055,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.65,205.13
LAA_ATH_055,7,1,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,2.51,212.51
LAA_ATH_055,7,1,1,Le nom inscrit sur la première tombe est : ,0,0,1,5.01,217.57
LAA_ATH_055,7,2,0,Combien y a-t-il de drapeaux sur cette photo ? ,0,0,1,1.38,223.79
LAA_ATH_055,7,2,1,Le nom inscrit sur la première tombe est : ,0,0,1,1.78,225.62
LAA_ATH_055,8,1,0,De quelle couleur est le téléphone ? ,0,0,1,2.84,234.94
LAA_ATH_055,8,2,0,De quelle couleur est le téléphone ? ,6,0,0,1.83,243.59
LAA_ATH_055,9,1,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,2.2,252.02
LAA_ATH_055,9,1,1,Avez-vous vu un point rouge sur cette photo ? ,0,0,1,1.84,253.91
LAA_ATH_055,9,2,0,Combien y a-t-il de femmes en bas à gauche de l'image ? ,0,6,0,0.69,259.99
LAA_ATH_055,9,2,1,Avez-vous vu un point rouge sur cette photo ? ,6,0,0,1.18,261.22
LAA_ATH_055,10,1,0,Tous les personnages ont-ils un casque ? ,0,6,0,2.28,267.95
LAA_ATH_055,10,1,1,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.57,269.55
LAA_ATH_055,11,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.26,277.84
LAA_ATH_055,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.8,280.69
LAA_ATH_055,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,2.3,283.03
LAA_ATH_055,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,1.25,288.85
LAA_ATH_055,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,2.53,302.51
