id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
CAL_VIC_046,100,1,0,Les nuages sont gris. ,0,0,1,0.87,67.89
CAL_VIC_046,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,2.06,76.91
CAL_VIC_046,102,1,0,Avez-vous vu un �l�phant ? ,6,6,1,2.35,88.18
CAL_VIC_046,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.1,109.93
CAL_VIC_046,0,1,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,3.99,113.97
CAL_VIC_046,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.86,119.39
CAL_VIC_046,0,2,1,Combien y a-t-il de cafeti�res sur la photo ? ,6,6,1,1.03,120.46
CAL_VIC_046,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.38,126.58
CAL_VIC_046,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.6,137.98
CAL_VIC_046,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,1.38,139.39
CAL_VIC_046,2,1,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,1.95,141.39
CAL_VIC_046,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.18,151.93
CAL_VIC_046,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,0.85,152.82
CAL_VIC_046,2,2,2,Avez-vous vu une personne habill�e d'une robe blanche ? ,6,0,0,1.22,154.09
CAL_VIC_046,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.13,159.73
CAL_VIC_046,3,1,1,Avez-vous vu une corde � sauter ? ,0,6,0,2.01,161.77
CAL_VIC_046,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,0.8,166.83
CAL_VIC_046,3,2,1,Avez-vous vu une corde � sauter ? ,6,6,1,0.57,167.44
CAL_VIC_046,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.16,171.76
CAL_VIC_046,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,1.45,173.25
CAL_VIC_046,4,1,2,Avez-vous vu une corde � sauter ? ,6,6,1,0.91,174.2
CAL_VIC_046,5,1,0,Toutes les personnes sont-elles habill�es en blanc ? ,0,0,1,1.51,180.81
CAL_VIC_046,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.06,183.93
CAL_VIC_046,6,1,0,Combien y a-t-il de personnes diplom�es sur la photo ? ,0,0,1,1.22,193.0
CAL_VIC_046,6,1,1,Avez-vous vu une personne habill�e d'une robe blanche ? ,0,0,1,1.76,194.81
