id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
JOU_PIE_070,100,1,0,Les nuages sont gris. ,6,0,0,2.23,45.03
JOU_PIE_070,100,2,0,Les nuages sont gris. ,0,0,1,1.87,52.57
JOU_PIE_070,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.22,63.64
JOU_PIE_070,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,2.63,77.77
JOU_PIE_070,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,5.45,113.7
JOU_PIE_070,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.51,117.25
JOU_PIE_070,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.59,125.72
JOU_PIE_070,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.51,129.27
JOU_PIE_070,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.92,137.31
JOU_PIE_070,1,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.8,145.66
JOU_PIE_070,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,3.32,156.5
JOU_PIE_070,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,2.3,158.83
JOU_PIE_070,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.28,161.14
JOU_PIE_070,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,2.06,172.03
JOU_PIE_070,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.08,175.15
JOU_PIE_070,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,0.94,176.12
JOU_PIE_070,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.27,182.34
JOU_PIE_070,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,2.96,185.35
JOU_PIE_070,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.03,190.81
JOU_PIE_070,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,0.94,191.79
JOU_PIE_070,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.24,196.09
JOU_PIE_070,4,1,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,2.02,198.15
JOU_PIE_070,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.76,199.96
JOU_PIE_070,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,0.8,205.52
JOU_PIE_070,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.4,206.95
JOU_PIE_070,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,0.93,207.92
JOU_PIE_070,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,1.62,214.32
JOU_PIE_070,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.55,215.92
JOU_PIE_070,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,2.5,223.69
JOU_PIE_070,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,0.75,224.48
JOU_PIE_070,6,1,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,1.48,233.35
JOU_PIE_070,6,1,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.93,235.33
JOU_PIE_070,6,2,0,Combien y a-t-il de personnes diplomées sur la photo ? ,0,0,1,0.65,243.58
JOU_PIE_070,6,2,1,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,1.42,245.04
